Year,Units,Value
2010,Porcentaje (%),14.80
2011,Porcentaje (%),19.90
2012,Porcentaje (%),21.50
2013,Porcentaje (%),22.80
2014,Porcentaje (%),28.10
2015,Porcentaje (%),20.80
2016,Porcentaje (%),29.50
2017,Porcentaje (%),19.20
2018,Porcentaje (%),16.30
