Year,Units,Value
2010,"Por 100,000 habitantes",188.4
2011,"Por 100,000 habitantes",190.41
2012,"Por 100,000 habitantes",197.44
2013,"Por 100,000 habitantes",196.02
2014,"Por 100,000 habitantes",192.12
2015,"Por 100,000 habitantes",194.15
2016,"Por 100,000 habitantes",197.04
2017,"Por 100,000 habitantes",196.85
2018,"Por 100,000 habitantes",199.65
