Year,Units,Value
2010,Porcentaje (%),30.80
2011,Porcentaje (%),30.30
2012,Porcentaje (%),30.80
2013,Porcentaje (%),29.70
2014,Porcentaje (%),33.20
2015,Porcentaje (%),34.90
2016,Porcentaje (%),37.70
2017,Porcentaje (%),35.20
2018,Porcentaje (%),29.50
