Year,Units,Value
2010,"Por 100,000 habitantes",162.63
2011,"Por 100,000 habitantes",162.54
2012,"Por 100,000 habitantes",165.71
2013,"Por 100,000 habitantes",147.6
2014,"Por 100,000 habitantes",164.65
2015,"Por 100,000 habitantes",192.31
2016,"Por 100,000 habitantes",198.02
2017,"Por 100,000 habitantes",196.34
2018,"Por 100,000 habitantes",212.4
