Year,Units,Value
2010,Porcentaje,29.70
2011,Porcentaje,30.10
2012,Porcentaje,33.60
2013,Porcentaje,28.40
2014,Porcentaje,27.60
2015,Porcentaje,28.50
2016,Porcentaje,35.00
2017,Porcentaje,30.50
2018,Porcentaje,32.10
