Year,Units,Value
2010,Porcentaje (%),35.70
2011,Porcentaje (%),37.80
2012,Porcentaje (%),40.30
2013,Porcentaje (%),35.50
2014,Porcentaje (%),37.00
2015,Porcentaje (%),37.90
2016,Porcentaje (%),44.60
2017,Porcentaje (%),40.20
2018,Porcentaje (%),36.40
