Year,Units,Value
2010,Porcentaje,25.00
2011,Porcentaje,27.70
2012,Porcentaje,31.60
2013,Porcentaje,23.40
2014,Porcentaje,25.20
2015,Porcentaje,25.50
2016,Porcentaje,28.10
2017,Porcentaje,25.90
2018,Porcentaje,29.00
