Year,Units,Value
2010,Porcentaje,20.40
2011,Porcentaje,13.40
2012,Porcentaje,19.70
2013,Porcentaje,20.40
2014,Porcentaje,19.20
2015,Porcentaje,21.30
2016,Porcentaje,18.70
2017,Porcentaje,20.00
2018,Porcentaje,21.20
