Year,Units,Value
2010,Porcentaje,3.89
2011,Porcentaje,3.63
2012,Porcentaje,3.65
2013,Porcentaje,3.23
2014,Porcentaje,3.05
2015,Porcentaje,2.83
2016,Porcentaje,2.74
2017,Porcentaje,2.84
2018,Porcentaje,2.76
